date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:05:00	87909/87909	---MCZ	200	added ('OK')	text/html	date:Fri,%2016%20Dec%202022%2000:05:23%20GMT	https://www.joshschulman.net/about-me	C:/My%20Web%20Sites/joshschulman.net/www.joshschulman.net/about-me.html	(from )
19:05:00	79284/79284	---MCZ	200	added ('OK')	text/html	date:Fri,%2016%20Dec%202022%2000:05:24%20GMT	https://www.joshschulman.net/resume	C:/My%20Web%20Sites/joshschulman.net/www.joshschulman.net/resume.html	(from )
19:05:01	87753/87753	---MCZ	200	added ('OK')	text/html	date:Fri,%2016%20Dec%202022%2000:05:24%20GMT	https://www.joshschulman.net/	C:/My%20Web%20Sites/joshschulman.net/www.joshschulman.net/index.html	(from )
19:05:01	79767/79767	---MCZ	200	added ('OK')	text/html	date:Fri,%2016%20Dec%202022%2000:05:24%20GMT	https://www.joshschulman.net/projects/engineering-projects/past-projects	C:/My%20Web%20Sites/joshschulman.net/www.joshschulman.net/projects/engineering-projects/past-projects.html	(from )
19:05:01	76054/76054	---MCZ	200	added ('OK')	text/html	date:Fri,%2016%20Dec%202022%2000:05:24%20GMT	https://www.joshschulman.net/projects/engineering-projects/past-projects/music-equalizer	C:/My%20Web%20Sites/joshschulman.net/www.joshschulman.net/projects/engineering-projects/past-projects/music-equalizer.html	(from )
19:05:01	75739/75739	---MCZ	200	added ('OK')	text/html	date:Fri,%2016%20Dec%202022%2000:05:25%20GMT	https://www.joshschulman.net/projects/engineering-projects/past-projects/audio-mixer	C:/My%20Web%20Sites/joshschulman.net/www.joshschulman.net/projects/engineering-projects/past-projects/audio-mixer.html	(from )
19:05:02	79912/79912	---MCZ	200	added ('OK')	text/html	date:Fri,%2016%20Dec%202022%2000:05:25%20GMT	https://www.joshschulman.net/projects/student-government-legislation/dietary-accommodations	C:/My%20Web%20Sites/joshschulman.net/www.joshschulman.net/projects/student-government-legislation/dietary-accommodations.html	(from )
19:05:02	76201/76201	---MCZ	200	added ('OK')	text/html	date:Fri,%2016%20Dec%202022%2000:05:25%20GMT	https://www.joshschulman.net/projects/student-government-legislation/husky-book-bundle	C:/My%20Web%20Sites/joshschulman.net/www.joshschulman.net/projects/student-government-legislation/husky-book-bundle.html	(from )
19:05:02	76388/76388	---MCZ	200	added ('OK')	text/html	date:Fri,%2016%20Dec%202022%2000:05:26%20GMT	https://www.joshschulman.net/projects/student-government-legislation/undergraduate-student-trustee-compensation	C:/My%20Web%20Sites/joshschulman.net/www.joshschulman.net/projects/student-government-legislation/undergraduate-student-trustee-compensation.html	(from )
19:05:03	13269/13269	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2016%20Dec%202022%2000:05:26%20GMT	https://www.joshschulman.net/robots.txt		(from )
19:05:03	17588/17588	---M--	200	added ('OK')	text/javascript	etag:%22ff112e622221d232%22	https://apis.google.com/js/client.js?onload=gapiLoaded	C:/My%20Web%20Sites/joshschulman.net/apis.google.com/js/clientc932.js	(from https://www.joshschulman.net/)
19:05:04	88838/88838	---MCZ	200	added ('OK')	text/html	date:Fri,%2016%20Dec%202022%2000:05:27%20GMT	https://www.joshschulman.net/onedrive	C:/My%20Web%20Sites/joshschulman.net/www.joshschulman.net/onedrive.html	(from https://www.joshschulman.net/)
19:05:04	1258/1258	---M--	200	added ('OK')	image/png	date:Tue,%2022%20Oct%202019%2018:30:00%20GMT	https://www.google.com/images/icons/product/drive-32.png	C:/My%20Web%20Sites/joshschulman.net/www.google.com/images/icons/product/drive-32.png	(from https://www.joshschulman.net/resume)
19:05:05	505306/505306	---M--	200	added ('OK')	image/png	date:Thu,%2003%20Oct%202019%2010:15:00%20GMT	https://ssl.gstatic.com/atari/images/simple-header-blended.png	C:/My%20Web%20Sites/joshschulman.net/ssl.gstatic.com/atari/images/simple-header-blended.png	(from https://www.joshschulman.net/onedrive)
